Model,Representation,Accuracy,Precision,Recall,Specificity,F1,ROC-AUC
L1 Logistic Regression,Without PCA,0.7522622427253371,0.9177040110650069,0.6204316995246629,0.9264751312944084,0.7403412524989539,0.8110174104077248
L1 Logistic Regression,With PCA,0.7375798438608943,0.9148374715125345,0.59432712537988,0.9268870353207702,0.7205479452054795,0.8894699855513419
LDA,Without PCA,0.7623314407381121,0.9247641777474713,0.6340684173614899,0.9318298836371125,0.7523113905325444,0.8513927193949239
LDA,With PCA,0.7517299503193754,0.9240506329113924,0.6143536195745344,0.933271547729379,0.7380294874795226,0.8916584884876347
kNN,Without PCA,0.7688963804116394,0.9217660728117738,0.6491077690329619,0.9271959633405417,0.761774119798811,0.8181028144450759
kNN,With PCA,0.7862845990063875,0.9582618639222413,0.6530039741291982,0.9624137575944804,0.7767170266011679,0.8309130441086928
Random Forest,Without PCA,0.775195173882186,0.9682788565914847,0.6255746902516949,0.9729173102667078,0.7600833175534937,0.9602830979172472
Random Forest,With PCA,0.7953779276082328,0.9639873560623166,0.6653939063352294,0.9671506538976419,0.7873311511686875,0.9579675941817408
